ML TD Type,Principal_Component
MCM,11.565240971066956
UMC,8.718697147855234
MDepend,5.181711368666498
Data Conf,2.175570421474924
Proto,-0.06433188012051339
UMC ,-0.7245910266054407
MCR,-0.98272087472514
MLInter,-1.1452363462502444
Layer Conf,-1.292413745703218
HP Conf,-1.4662927320051473
CDT,-1.7581004297398903
MCC,-2.7480099870337185
Weight Conf,-2.7497112402423003
DS Configuration,-3.33832259134533
MLKnow,-11.371489055292672
