Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM,Weighted Average
Tool,OpenMined/PySyft,syft/core/frameworks/torch/tensor.py,Data Conf,Modeling,0.024678112,0.000565611,0.034576394,0.977165135,1,1,0.075268817,0.444607724
Tool,OpenMined/PySyft,syft/workers/base.py,HP Conf,Training,0.467811159,0.126696833,0.211078928,0.410470621,0.278080698,0.241019956,0.247311828,0.283210003
Application,flairNLP/flair,flair/models/sequence_tagger_model.py,UMC,Modeling,0.008583691,0.016968326,0.063359884,0.383180173,0.223555071,0.33713969,0.086021505,0.159829763
Tool,ray-project/ray,rllib/models/tf/__init__.py,MDepend,Modeling,0.024678112,0.104072398,0.975561188,0.003063214,0,0.00225425,0,0.158518452
Tool,NervanaSystems/neon,neon/layers/layer.py,Layer Conf,Modeling,0.13304721,0.001131222,0.063178856,0.395154553,0.374045802,0.411751663,0.268817204,0.235303787
Application,geomstats/geomstats,geomstats/geometry/general_linear.py,MLKnow,Data Pre,0.020386266,0.016968326,0.075307748,0,0,0,0,0.01609462
Application,Drakkar-Software/OctoBot,trading/trader/trades_manager.py,Data Conf,Data Pre,0.009656652,0.001131222,0.039464156,0.04149262,0.037077426,0.035772358,0.11827957,0.040410572
Application,dipy/dipy,dipy/segment/bundles.py,CDT,Data Pre,0.071888412,0.006221719,0.391564084,0.172653857,0.104689204,0.136733186,0.043010753,0.132394459
Application,automagica/automagica,automagica/gui/graphs.py,MCM,Other,0.00751073,0.028846154,0.037291818,0.641882484,0.268266085,0.646858832,0.290322581,0.274425526
Application,jupyter/nbdime,nbdime/diffing/notebooks.py,Data Conf,Data Pre,0.006437768,0.018665158,0.049782766,0.043163464,0.049073064,0.034331116,0.021505376,0.031851245
Application,jupyter/nbdime,nbdime/merging/generic.py,MLKnow,Data Pre,0.442060086,0.001696833,0.04217958,0.154831523,0.212649945,0.159571323,0.096774194,0.158537641
Application,pyannote/pyannote-audio,pyannote/audio/pipeline/speaker_diarization.py,Data Conf,Evaluation,0.442060086,0.062782805,0.074583635,0.084934559,0.041439477,0.067184035,0.23655914,0.144220534
Application,mne-tools/mne-python,mne/io/kit/kit.py,Data Conf,Data Pre,0.046137339,0.000565611,0.654055033,0.322194375,0.164667394,0.309940872,0.021505376,0.217009428
Application,mne-tools/mne-python,mne/io/ctf/trans.py,MLKnow,Data Pre,0.086909871,1,0.93211441,0.058758006,0.088331516,0.085772358,0.064516129,0.330914613
