ML Pipeline Stage,Principal_Component
Data Acq,8.270438632838887
Prediction,6.202358534342945
Evaluation,4.183644578366273
Other,1.2518245845761258
Training,-2.889970613114876
Modeling,-3.181601012862873
Data Pre,-13.836694704146485
