ML Pipeline Stage,Weighted Average
Prediction,0.312852464
Evaluation,0.18439576325
Data Acq,0.1553492225882353
Other,0.125094266125
Training,0.11788295347826086
Data Pre,0.11330372891428572
Modeling,0.11175276852631578
