ML TD Type,Weighted Average
MCM,0.2775378354013671
MDepend,0.1861097663497856
UMC,0.16463365513228376
HP Conf,0.12776203160985578
Proto,0.12411718010721891
Data Conf,0.12375397314924848
DS Configuration,0.11787688791127596
CDT,0.11305337918951211
UMC ,0.10963857834748847
MCR,0.1074234131490314
MLKnow,0.0989029403541223
Layer Conf,0.09401828636353135
MCC,0.09342631685275271
Weight Conf,0.07018574074537097
MLInter,0.0558520749896185
