Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM
Application,GilesStrong/lumin,lumin/nn/interpretation/features.py,MLInter,Modeling,0.013948497854077254,0.054864253393665165,0.08635047067342505,0.06739069896964633,0.04143947655398037,0.07320768662232077,0.05376344086021506
Application,roscisz/TensorHive,tensorhive/controllers/reservation/update_reservation_controller.py,DS Configuration,Other,0.0075107296137339056,0.031108597285067877,0.10897900072411296,0.020050125313283207,0.017448200654307525,0.021286031042128603,0.043010752688172046
Tool,gunthercox/ChatterBot,chatterbot/algorithms/engram.py,MLKnow,Data Pre,0.02575107296137339,0.0016968325791855204,0.009594496741491673,0.014202172096908938,0.018538713195201745,0.011012564671101257,0.03225806451612903
Application,PratikBarhate/question-classification,qc/dataprep/feature_stack.py,MDepend,Data Acq,0.01931330472103004,0.0016968325791855204,0.005792903692976104,0.006683375104427736,0.0021810250817884407,0.01090169992609017,0.021505376344086023
Application,rmalav15/Super-SloMo,data_loader.py,Data Conf,Data Acq,0.34763948497854075,0.0016968325791855204,0.0025343953656770456,0.06934001670843776,0.07415485278080698,0.0770140428677014,0.2795698924731183
Application,xinshuoweng/Xinshuo_PyToolbox,xinshuo_images/python/image_processing.py,Data Conf,Data Pre,0.1963519313304721,0.0016968325791855204,0.05811006517016654,0.17126148705096073,0.21810250817884408,0.2362527716186253,0.38709677419354843
Application,mpkuse/cartwheel_train,CustomNets.py,UMC,Data Acq,0.2886266094420601,0.003393665158371041,0.0039826212889210715,0.1517683096630465,0.09378407851690294,0.22738359201773836,0.043010752688172046
Application,comtravo/ctparse,ctparse/partial_parse.py,Data Conf,Data Pre,0.0203862660944206,0.0028280542986425343,0.018464880521361332,0.06098579782790309,0.06324972737186478,0.056504065040650406,0.15053763440860216
Application,deep-fry/mayo,mayo/task/image/generate.py,MCR,Training,0.01931330472103004,0.0011312217194570137,0.05865314989138305,0.06460595934280144,0.04143947655398037,0.07524020694752402,0.06451612903225806
Application,pyro-ppl/funsor,funsor/tensor.py,MCR,Data Acq,0.032188841201716736,0.027149321266968326,0.14265025343953655,0.4728487886382623,0.5059978189749182,0.5241315594974132,0.10752688172043012
Application,pyro-ppl/funsor,funsor/domains.py,Proto,Data Acq,0.04613733905579399,0.005656108597285069,0.14663287472845762,0.13561681982734614,0.15485278080697928,0.12634885439763488,0.12903225806451613
Application,sorgerlab/indra,indra/literature/s3_client.py,Data Conf,Data Acq,0.05257510729613734,0.0022624434389140274,0.2112599565532223,0.11695906432748537,0.11341330425299892,0.09874353288987435,0.043010752688172046
Application,sorgerlab/indra,indra/sources/ndex_cx/processor.py,MCR,Data Acq,0.21351931330472104,0.0011312217194570137,0.2396813902968863,0.07101086048454469,0.0752453653217012,0.06260162601626017,0.2795698924731183
Application,pescadores/pescador,pescador.py,MCR,Modeling,0.003218884120171674,0.0005656108597285068,0.000724112961622013,0.09635199108883319,0.1025081788440567,0.08403547671840354,0.12903225806451613
